Dimension,Category,Mean_ITE,Std_ITE,N
Store Type,D,0.19599072955784508,6.014682989412448e-16,1000296
Store Type,C,0.19599072955784502,5.152218623482863e-16,833580
Store Type,B,0.19599072955784477,4.562175819682592e-16,444576
Store Type,E,0.1959907295578446,4.2245169120764535e-16,222288
Store Type,A,0.19599072955784483,5.09485242078906e-16,500148
Cluster,Cluster 1,0.19599072955784463,4.654301922531359e-16,166716
Cluster,Cluster 2,0.19599072955784466,4.450975301997671e-16,111144
Cluster,Cluster 3,0.19599072955784466,4.0839904032485476e-16,389004
Cluster,Cluster 4,0.19599072955784463,4.627700887219508e-16,166716
Cluster,Cluster 5,0.19599072955784475,5.29450632118903e-16,55572
Cluster,Cluster 6,0.19599072955784458,4.612722978659119e-16,333432
Cluster,Cluster 7,0.19599072955784475,3.9884208689407146e-16,111144
Cluster,Cluster 8,0.19599072955784463,4.923508876231338e-16,166716
Cluster,Cluster 9,0.19599072955784475,4.442642350438789e-16,111144
Cluster,Cluster 10,0.1959907295578446,4.2455416024488516e-16,333432
